competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,Labels Mean Shift
100 Grand,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.73,0.86,66.97,2
3 Musketeers,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.60,0.51,67.60,2
One dime,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,32.26,0
One quarter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.51,46.12,0
Air Heads,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.51,52.34,1
Almond Joy,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.47,0.77,50.35,1
Baby Ruth,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.60,0.77,56.91,1
Boston Baked Beans,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.31,0.51,23.42,0
Candy Corn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.91,0.32,38.01,0
Caramel Apple Pops,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.32,34.52,0
Charleston Chew,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.60,0.51,38.98,0
Chewey Lemonhead Fruit Mix,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.73,0.51,36.02,0
Chiclets,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.32,24.52,0
Dots,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.73,0.51,42.27,0
Dum Dums,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.73,0.03,39.46,0
Fruit Chews,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,0.03,43.09,0
Fun Dip,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.73,0.32,39.19,0
Gobstopper,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.91,0.45,46.78,1
Haribo Gold Bears,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.47,0.47,57.12,1
Haribo Happy Cola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.47,0.47,34.16,0
